,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),Tiempo medio de viaje a Madrid en coche,Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),Tiempo medio de viaje a Barcelona en coche,Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,Número deconexiones delaeropuerto internacionalmás cercano,Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,Ponderación calidad del aire,Horas de Sol mediasanuales
30,Fuengirola,Málaga,Andalucía,83226.0,5.4,11.5,558.0,316,233.0,1025.0,606.0,,Málaga-Costa del Sol,137.0,25.4,29.0,9.0,,2285,No,,3248
31,Fuenlabrada,Madrid,Madrid,189891.0,9.5,9.9,25.0,28,,638.0,363.0,181.0,Adolfo Suárez Madrid-Barajas,174.0,34.3,33.0,0.0,,1594,No,399.0,2691
32,Gandia,Valencia,Comunidad Valenciana,75911.0,14.5,6.9,436.0,251,242.0,429.0,257.0,345.0,València,89.0,76.9,30.0,7.0,,1505,No,436.0,2808
33,Getafe,Madrid,Madrid,183219.0,40.4,11.1,16.0,24,,630.0,358.0,176.0,Adolfo Suárez Madrid-Barajas,174.0,25.9,33.0,0.0,,2084,No,396.0,2691
34,Getxo,Bizkaia,País Vasco,76365.0,41.9,12.5,415.0,245,287.0,619.0,354.0,539.0,Bilbao,46.0,18.8,24.0,6.0,,4205,Sí,432.0,1694
35,Gijón,Asturias,Asturias,267706.0,22.4,8.5,466.0,265,355.0,869.0,508.0,,Asturias,24.0,41.8,23.0,7.0,,1622,No,362.0,1962
36,Girona,Girona,Cataluña,102666.0,24.9,11.0,692.0,410,224.0,102.0,80.0,,Girona-Costa Brava,17.0,15.5,31.0,2.0,,2226,No,493.0,28
37,Granada,Granada,Andalucía,228682.0,32.8,9.0,418.0,244,231.0,855.0,516.0,,Federico García Lorca-Granada,8.0,17.5,34.0,0.0,,1931,Sí,384.0,3228
38,Guadalajara,Guadalajara,Castilla-La Mancha,87452.0,35.4,7.8,66.0,53,,560.0,315.0,218.0,Adolfo Suárez Madrid-Barajas,174.0,46.6,32.0,0.0,,1521,No,407.0,29
39,Huelva,Huelva,Andalucía,141854.0,40.2,7.7,612.0,334,262.0,1087.0,646.0,,Sevilla,70.0,102.0,31.0,7.0,,1227,No,436.0,3527
40,Jaén,Jaén,Andalucía,111669.0,,7.1,332.0,194,193.0,796.0,456.0,,Federico García Lorca-Granada,8.0,95.5,36.0,1.0,,1094,Sí,379.0,32890
41,Jerez de la Frontera,Cádiz,Andalucía,212730.0,14.6,7.7,618.0,337,238.0,1080.0,639.0,702.0,Jerez,16.0,11.5,32.0,6.0,,1279,No,400.0,3316
42,L'Hospitalet de Llobregat,Barcelona,Cataluña,265444.0,,14.5,620.0,368,170.0,6.0,,,Josep TarradellasBarcelona-El Prat,170.0,9.8,29.0,5.0,,262,No,404.0,2453
